mysql> select * from recipes;
+------+---------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------+
| id   | name                                                                      | link                                                                                                          |
| 1489 | Bread Soup (Panade) with Onions, Chard, and Mushrooms                     | http://www.simplyrecipes.com/recipes/bread_soup_panade_with_onions_chard_and_mushrooms/                       |
| 1490 | Bread and Butter Pickles                                                  | http://www.simplyrecipes.com/recipes/bread_and_butter_pickles/                                                |
| 1491 | Breaded and Baked Chicken Drumsticks                                      | http://www.simplyrecipes.com/recipes/breaded_and_baked_chicken_drumsticks/                                    |
| 1492 | Broccoli Beef                                                             | http://www.simplyrecipes.com/recipes/broccoli_beef/                                                           |
| 1493 | Broccoli Cheese Casserole                                                 | http://www.simplyrecipes.com/recipes/broccoli_cheese_casserole/                                               |
| 1494 | Broccoli Rabe with Caramelized Onions                                     | http://www.simplyrecipes.com/recipes/broccoli_rabe_with_caramelized_onions/                                   |
| 1495 | Broccoli Rabe with Pasta and Sun Dried Tomatoes                           | http://www.simplyrecipes.com/recipes/broccoli_rabe_with_pasta_and_sun_dried_tomatoes/                         |
| 1496 | Broccoli Salad                                                            | http://www.simplyrecipes.com/recipes/broccoli_salad/                                                          |
| 1497 | Broccoli Stir Fry with Ginger and Sesame                                  | http://www.simplyrecipes.com/recipes/broccoli_stir_fry_with_ginger_and_sesame/                                |
| 1498 | Broccoli, Chicken, and Almond Sauté                                       | http://www.simplyrecipes.com/recipes/broccoli_chicken_and_almond_saute/                                       |
| 1499 | Bruschetta with Tomato and Basil                                          | http://www.simplyrecipes.com/recipes/bruschetta_with_tomato_and_basil/                                        |
| 1500 | Brussels Sprouts                                                          | http://www.simplyrecipes.com/recipes/brussels_sprouts/                                                        |
| 1501 | Brussels Sprouts with Bacon and Chestnuts                                 | http://www.simplyrecipes.com/recipes/brussels_sprouts_with_bacon_and_chestnuts/                               |
| 1502 | Brussels Sprouts with Black Bean Garlic Sauce                             | http://www.simplyrecipes.com/recipes/brussels_sprouts_with_black_bean_garlic_sauce/                           |
| 1503 | Buckwheat Pancakes                                                        | http://www.simplyrecipes.com/recipes/buckwheat_pancakes/                                                      |
| 1504 | Buffalo Burger                                                            | http://www.simplyrecipes.com/recipes/buffalo_burger/                                                          |
| 1505 | Buffalo Wings                                                             | http://www.simplyrecipes.com/recipes/buffalo_wings/                                                           |
| 1506 | Butter Pecan Cookies                                                      | http://www.simplyrecipes.com/recipes/butter_pecan_cookies/                                                    |
| 1507 | Butter Pecan Ice Cream                                                    | http://www.simplyrecipes.com/recipes/butter_pecan_ice_cream/                                                  |
| 1508 | Buttermilk Biscuits and Sausage Gravy                                     | http://www.simplyrecipes.com/recipes/buttermilk_biscuits_and_sausage_gravy/                                   |
| 1509 | Buttermilk Biscuits with Goat Cheese and Chives                           | http://www.simplyrecipes.com/recipes/buttermilk_biscuits_with_goat_cheese_and_chives/                         |
| 1510 | Buttermilk Fried Chicken                                                  | http://www.simplyrecipes.com/recipes/buttermilk_fried_chicken/                                                |
| 1511 | Buttermilk Pudding                                                        | http://www.simplyrecipes.com/recipes/buttermilk_pudding/                                                      |
| 1512 | Butternut Squash Apple Cranberry Bake                                     | http://www.simplyrecipes.com/recipes/butternut_squash_apple_cranberry_bake/                                   |
| 1513 | Butternut Squash Apple Soup                                               | http://www.simplyrecipes.com/recipes/butternut_squash_apple_soup/                                             |
| 1514 | Butternut Squash Risotto                                                  | http://www.simplyrecipes.com/recipes/butternut_squash_risotto/                                                |
| 1515 | Butternut Squash with Browned Butter and Thyme                            | http://www.simplyrecipes.com/recipes/butternut_squash_with_browned_butter_and_thyme/                          |
| 1516 | Butternut Squash with Walnuts and Vanilla                                 | http://www.simplyrecipes.com/recipes/butternut_squash_with_walnuts_and_vanilla/                               |
| 1517 | Butterscotch Cookies                                                      | http://www.simplyrecipes.com/recipes/butterscotch_cookies/                                                    |
| 1518 | Butterscotch Pudding                                                      | http://www.simplyrecipes.com/recipes/butterscotch_pudding/                                                    |
| 1519 | Buttery Apple Torte                                                       | http://www.simplyrecipes.com/recipes/buttery_apple_torte/                                                     |
| 1520 | Buttery Tomato Pasta                                                      | http://www.simplyrecipes.com/recipes/buttery_tomato_pasta/                                                    |
| 1521 | Caesar Salad                                                              | http://www.simplyrecipes.com/recipes/caesar_salad/                                                            |
| 1522 | Cajun Chicken Salad                                                       | http://www.simplyrecipes.com/recipes/cajun_chicken_salad/                                                     |
